quizzes, Science Multiple Choice #1
questions,1,Which is heavier, the Earth or the Sun?,multiple choice
answers,1,Earth,False
answers,1,Sun,False
questions,1,What do herpetologists study?,multiple choice
answers,2,Blood,False
answers,2,Herpes,False
answers,2,Insects,False
answers,2,Reptiles and amphibians,False
questions,1,Which of these is a virus?,multiple choice
answers,3,Chicken pox,False
answers,3,Leukemia,False
answers,3,Scoliosis,False
answers,3,Staphylococcus,False
questions,1,Among these elements, which one has the highest atomic mass?,multiple choice
answers,4,Copper,False
answers,4,Helium,False
answers,4,Sodium,False
answers,4,Uranium,False
questions,1,Which one of these is NOT a mineral?,multiple choice
answers,5,Calcite,False
answers,5,Diamond,False
answers,5,Lithium,False
answers,5,Quartz,False
questions,1,Which of these has the longest wave length?,multiple choice
answers,6,Radio waves,False
answers,6,Visible light,False
answers,6,X-rays,False
questions,1,What is the pH of pure water?,multiple choice
answers,7,0,False
answers,7,1,False
answers,7,7,False
answers,7,273.15,False
questions,1,What is the function of mitochondria in the cell?,multiple choice
answers,8,To generate energy,False
answers,8,To kill viruses or other antigens,False
answers,8,To process waste,False
answers,8,To repair damage,False
questions,1,True or false.  There are trees alive today that were alive in the year 1 AD.,multiple choice
answers,9,True,False
answers,9,False,False
questions,1,How old is the Earth approximately?,multiple choice
answers,10,50,000 years,False
answers,10,300 million years,False
answers,10,4.5 billion years,False
answers,10,no one knows,False
questions,1,What is Andromeda?,multiple choice
answers,11,An array of radio telescopes,False
answers,11,A bacteria that can cause death,False
answers,11,An element of the Periodic Table,False
answers,11,The nearest major galaxy to the Milky Way,False
questions,1,Which of these units would you use to measure the total amount of energy it takes to lift a weight a certain distance?,multiple choice
answers,12,Joule,False
answers,12,Kilogram,False
answers,12,Watt,False
questions,1,What is less dense, hot air or cold air?,multiple choice
answers,13,Cold air,False
answers,13,Hot air,False
questions,1,How many pairs of chromosomes are in the genome of a typical person?,multiple choice
answers,14,1,False
answers,14,23,False
answers,14,88,False
answers,14,7921,False
questions,1,What is the largest moon in the Solar System?,multiple choice
answers,15,The Earth's Moon,False
answers,15,Europa,False
answers,15,Ganymede,False
answers,15,Pluto,False
questions,1,What element do organic compounds contain?,multiple choice
answers,16,Carbon,False
answers,16,Hydrogen,False
answers,16,Nitrogen,False
answers,16,Oxygen,Falsequizzes, France Multiple Choice
questions,2,Which of these countries does not border France?,multiple choice
answers,1,Austria,False
answers,1,Germany,False
answers,1,Italy,False
answers,1,Switzerland,False
questions,2,On what day of the year do the French celebrate their national holiday?,multiple choice
answers,2,January 7th,False
answers,2,July 14th,False
answers,2,September 2nd,False
answers,2,October 23rd,False
questions,2,Who is usually considered to be the first king of France?,multiple choice
answers,3,Charles the Fat,False
answers,3,Clovis,False
answers,3,Louis I,False
answers,3,Pepin the Short,False
questions,2,Which of these cities is not on the Mediterranean?,multiple choice
